Wood ID,length(cm),circumference(cm),width(cm),wet_weight(g),dry weight(g),width(mm),Estimated Pie
R1,94,12.5,3.55,898,466.8,35.5,3.521126761
R2,86,16.5,4.997,1190,609.2,49.97,3.301981189
R3,57,12,3.406,446,217.2,34.06,3.523194363
R4,61,16,5.113,1018,572.6,51.13,3.12927831
R5,76,9.5,2.536,396,231.2,25.36,3.746056782
R6,64,12,3.549,348,265.6,35.49,3.38123415
R7,76,7,2.087,250,131.2,20.87,3.35409679
R8,115,11,3.058,844,417.2,30.58,3.597122302
R9,48,19,5.003,844,451.8,50.03,3.797721367
R10,71,14,3.893,500,370,38.93,3.596198305
R11,73,11,3.265,476,266,32.65,3.36906585
R12,68,9,2.422,326,274.6,24.22,3.715937242
R13,80,12,3.648,708,432.8,36.48,3.289473684
R14,90,11.5,3.351,738,403.4,33.51,3.4318114
R15,76,9,2.97,362,196,29.7,3.03030303
R16,59,11,3.383,434,239.2,33.83,3.251551877
R17,51,9,2.729,260,143.2,27.29,3.297911323
R18,80,9,2.911,498,268.8,29.11,3.091721058
R19,92,8.5,2.686,490,269.8,26.86,3.164556962
R20,103,13,3.907,1036,602.4,39.07,3.327361147
R21,71,10,2.943,442,237.4,29.43,3.397893306
R22,75,11,3.459,558,309.8,34.59,3.180109858
R23,95,8.5,2.538,490,377.8,25.38,3.349093775
R24,69,15,4.825,964,544.6,48.25,3.10880829
R25,78,10,3.135,558,264.6,31.35,3.189792663
R26,63,14.5,4.439,814,421.6,44.39,3.266501464
R27,72,12,3.582,642,354.4,35.82,3.350083752
R28,93,12,3.322,678,389.4,33.22,3.612281758
R29,57,10,3.229,344,185.4,32.29,3.096934035
R30,73,11.5,3.658,466,347.4,36.58,3.143794423
R31,48,7.5,2.319,120,92,23.19,3.234152652
R32,103,10.5,3.276,748,376.8,32.76,3.205128205
R33,41,9,2.597,224,137.8,25.97,3.465537158
R34,31,13,4.001,296,151.2,40.01,3.249187703
R35,93,9.5,2.814,496,265,28.14,3.375977257
R36,42,10.5,3.512,190,146.2,35.12,2.989749431
R37,72,11,3.525,506,280.4,35.25,3.120567376
R38,52,10,3.076,216,152,30.76,3.250975293
R39,77,13.5,4.155,630,464.8,41.55,3.249097473
R40,55,14,4.47,664,332.8,44.7,3.131991051
R41,83,12,3.62,734,357.6,36.2,3.314917127
R42,82,13,4.109,872,494,41.09,3.163786809
R43,54,10,2.846,304,149.4,28.46,3.513703443
R44,71,10.5,3.097,362,267.8,30.97,3.390377785
R45,44,11.5,3.662,416,325,36.62,3.140360459
R46,104,9.5,2.58,526,267,25.8,3.682170543
R47,41,10,2.869,168,104.6,28.69,3.48553503
R48,51,9.5,3.152,428,255.4,31.52,3.013959391
R49,88,8.5,2.56,474,234.2,25.6,3.3203125
R50,84,10.5,2.919,584,292.8,29.19,3.597122302
R51,75,7.5,2.322,302,140.8,23.22,3.22997416
R52,66,14,4.547,626,382,45.47,3.078953156
